"","Program","Service","CategoryName","ExpenseOrRevenue","Amount"
"83","7","13","7","1",328429.8
"84","7","13","3","1",54642.46
"85","7","13","4","1",169682.53
"86","7","13","5","1",42946.52
"87","7","13","1","1",5884063.85
"88","7","13","2","1",99100741.84
"89","7","13","9","2",-1400001
"90","7","13","10","2",-94356188.29
"91","7","13","8","2",-296434.5
"92","8","14","3","1",7000
"93","8","14","4","1",308962.2
"94","8","14","5","1",22003.52
"95","8","14","14","1",253.86
"96","8","14","1","1",4288942.32
"97","8","14","2","1",953000.73
"98","8","14","9","2",-5580012.63
"99","8","14","12","2",-150
"100","8","15","7","1",187709.08
"101","8","15","3","1",41986.31
"102","8","15","4","1",695560.31
"103","8","15","5","1",107773.62
"104","8","15","14","1",31017.04
"105","8","15","1","1",17895832.77
"106","8","15","2","1",807430
"107","8","15","6","2",-167979
"108","8","15","12","2",-32555.6
"109","8","15","8","2",-1099514.83
"110","8","15","13","2",-351786.4
"111","8","16","7","1",276923.96
"112","8","16","3","1",37749.11
"113","8","16","4","1",120427.04
"114","8","16","5","1",943806.56
"115","8","16","14","1",1500
"116","8","16","1","1",17047826.02
"117","8","16","2","1",5937371.03
"118","8","16","6","2",-9248967.83
"119","8","16","12","2",-772921.86
"120","8","16","8","2",-135000
"121","8","16","13","2",-202299.96
"122","9","17","7","1",99216.8
"123","9","17","3","1",102000
"124","9","17","4","1",253278.7
"125","9","17","5","1",1281482.24
